iter	Passed	Remaining
0	199	198976
1	223	111607
2	246	81851
3	272	67762
4	293	58474
5	312	51784
6	327	46425
7	339	42090
8	352	38809
9	363	36030
10	375	33798
11	388	32023
12	401	30517
13	417	29411
14	430	28264
15	444	27314
16	459	26554
17	473	25844
18	488	25246
19	502	24627
20	515	24038
21	527	23445
22	542	23028
23	555	22604
24	567	22117
25	578	21654
26	589	21240
27	600	20851
28	611	20476
29	624	20179
30	637	19941
31	650	19680
32	663	19456
33	674	19151
34	685	18909
35	697	18677
36	708	18440
37	720	18236
38	731	18036
39	742	17830
40	753	17620
41	764	17432
42	775	17255
43	785	17074
44	797	16920
45	807	16755
46	818	16591
47	829	16458
48	840	16319
49	851	16174
50	862	16046
51	873	15928
52	890	15906
53	908	15919
54	925	15908
55	940	15853
56	952	15759
57	964	15667
58	976	15571
59	986	15460
60	997	15352
61	1008	15256
62	1021	15196
63	1037	15180
64	1050	15112
65	1064	15070
66	1077	15010
67	1091	14957
68	1101	14861
69	1112	14779
70	1123	14696
71	1133	14610
72	1144	14532
73	1155	14455
74	1164	14366
75	1176	14299
76	1186	14226
77	1198	14169
78	1210	14112
79	1221	14046
80	1231	13975
81	1242	13914
82	1254	13862
83	1267	13819
84	1279	13770
85	1291	13729
86	1305	13698
87	1318	13662
88	1329	13612
89	1341	13566
90	1354	13532
91	1367	13494
92	1379	13452
93	1393	13426
94	1406	13400
95	1420	13378
96	1434	13351
97	1445	13308
98	1457	13261
99	1468	13212
100	1478	13162
101	1489	13116
102	1500	13068
103	1511	13022
104	1523	12989
105	1534	12945
106	1545	12901
107	1556	12856
108	1567	12812
109	1577	12764
110	1588	12725
111	1599	12685
112	1610	12638
113	1621	12602
114	1632	12565
115	1643	12522
116	1654	12484
117	1664	12444
118	1674	12397
119	1686	12369
120	1698	12338
121	1709	12301
122	1720	12267
123	1731	12231
124	1742	12195
125	1753	12165
126	1764	12130
127	1775	12092
128	1786	12059
129	1797	12027
130	1808	11993
131	1820	11968
132	1830	11934
133	1845	11924
134	1856	11895
135	1869	11874
136	1882	11858
137	1895	11839
138	1907	11812
139	1920	11794
140	1932	11772
141	1943	11744
142	1954	11714
143	1966	11688
144	1977	11662
145	1988	11631
146	2001	11612
147	2012	11582
148	2022	11553
149	2033	11525
150	2044	11494
151	2054	11464
152	2066	11441
153	2077	11413
154	2087	11382
155	2098	11355
156	2109	11326
157	2119	11294
158	2131	11272
159	2142	11247
160	2152	11215
161	2163	11192
162	2174	11167
163	2185	11141
164	2196	11116
165	2207	11090
166	2217	11059
167	2228	11034
168	2240	11014
169	2250	10986
170	2261	10962
171	2272	10940
172	2283	10914
173	2294	10893
174	2307	10879
175	2320	10861
176	2333	10852
177	2348	10846
178	2361	10833
179	2374	10816
180	2386	10796
181	2396	10772
182	2407	10747
183	2416	10718
184	2427	10694
185	2437	10668
186	2447	10641
187	2458	10619
188	2469	10596
189	2480	10572
190	2491	10552
191	2501	10529
192	2512	10506
193	2523	10485
194	2534	10461
195	2545	10439
196	2555	10417
197	2565	10392
198	2577	10374
199	2589	10356
200	2599	10335
201	2610	10311
202	2620	10287
203	2630	10262
204	2640	10241
205	2651	10219
206	2662	10198
207	2673	10180
208	2684	10160
209	2695	10138
210	2706	10119
211	2717	10100
212	2727	10077
213	2738	10057
214	2749	10037
215	2758	10013
216	2769	9993
217	2783	9984
218	2795	9969
219	2812	9973
220	2826	9964
221	2840	9954
222	2854	9944
223	2866	9930
224	2876	9907
225	2888	9891
226	2898	9871
227	2909	9850
228	2920	9831
229	2930	9811
230	2941	9790
231	2951	9770
232	2961	9749
233	2972	9731
234	2984	9715
235	2997	9702
236	3007	9682
237	3018	9664
238	3029	9644
239	3039	9623
240	3050	9607
241	3061	9588
242	3071	9567
243	3082	9551
244	3092	9530
245	3104	9514
246	3114	9496
247	3124	9475
248	3135	9456
249	3146	9438
250	3156	9419
251	3168	9404
252	3178	9386
253	3188	9365
254	3200	9350
255	3211	9332
256	3221	9312
257	3232	9295
258	3242	9276
259	3254	9262
260	3266	9248
261	3280	9241
262	3295	9235
263	3311	9232
264	3325	9224
265	3336	9207
266	3347	9191
267	3358	9172
268	3368	9154
269	3379	9136
270	3389	9117
271	3400	9100
272	3410	9082
273	3421	9065
274	3432	9049
275	3442	9030
276	3452	9011
277	3463	8995
278	3473	8976
279	3484	8959
280	3494	8942
281	3504	8923
282	3515	8906
283	3526	8891
284	3537	8874
285	3547	8856
286	3558	8840
287	3568	8820
288	3578	8804
289	3589	8788
290	3599	8769
291	3610	8753
292	3620	8735
293	3630	8718
294	3642	8705
295	3653	8688
296	3663	8671
297	3673	8653
298	3683	8635
299	3693	8618
300	3704	8601
301	3713	8583
302	3724	8566
303	3734	8549
304	3746	8536
305	3757	8521
306	3767	8503
307	3779	8491
308	3791	8479
309	3809	8478
